"Variant and risk allele",P-value,"P-value annotation",RAF,OR,Beta,CI,"Mapped gene","Reported trait",Trait(s),"Study accession",Location
rs76856627-<b>?</b>,"9 x 10-11",,NR,'-,'-,'-,CLASRP,"Alzheimer's disease or family history of Alzheimer's disease","Alzheimer's disease, family history of Alzheimer’s disease",GCST005922,19:45040497
rs78620885-<b>?</b>,"5 x 10-8",,NR,'-,'-,'-,"MARK4, GEMIN7-AS1, GEMIN7","Alzheimer's disease or family history of Alzheimer's disease","Alzheimer's disease, family history of Alzheimer’s disease",GCST005922,19:45087826
rs112481437-<b>?</b>,"6 x 10-15",,NR,'-,'-,'-,CLASRP,"Alzheimer's disease or family history of Alzheimer's disease","Alzheimer's disease, family history of Alzheimer’s disease",GCST005922,19:45045877
rs7251911-<b>?</b>,"5 x 10-8",,NR,'-,'-,'-,GEMIN7-AS1,"Alzheimer's disease or family history of Alzheimer's disease","Alzheimer's disease, family history of Alzheimer’s disease",GCST005922,19:45079144
rs145903417-<b>?</b>,"5 x 10-8",,NR,'-,'-,'-,"PPP1R37, MARK4","Alzheimer's disease or family history of Alzheimer's disease","Alzheimer's disease, family history of Alzheimer’s disease",GCST005922,19:45125846
rs149495476-<b>?</b>,"5 x 10-8",,NR,'-,'-,'-,"MARK4, BLOC1S3","Alzheimer's disease or family history of Alzheimer's disease","Alzheimer's disease, family history of Alzheimer’s disease",GCST005922,19:45193381
rs138137383-<b>?</b>,"2 x 10-15",,NR,'-,'-,'-,"PPP1R37, MARK4","Alzheimer's disease or family history of Alzheimer's disease","Alzheimer's disease, family history of Alzheimer’s disease",GCST005922,19:45098343
rs12461065-<b>?</b>,"1 x 10-17",,NR,'-,'-,'-,"MARK4, PPP1R37","Alzheimer's disease or family history of Alzheimer's disease","Alzheimer's disease, family history of Alzheimer’s disease",GCST005922,19:45102050
rs8100183-<b>?</b>,"5 x 10-8",,NR,'-,'-,'-,"GEMIN7-AS1, MARK4, GEMIN7","Alzheimer's disease or family history of Alzheimer's disease","Alzheimer's disease, family history of Alzheimer’s disease",GCST005922,19:45081434
rs17643262-<b>?</b>,"2 x 10-30",,NR,'-,'-,'-,"PPP1R37, MARK4","Alzheimer's disease or family history of Alzheimer's disease","Alzheimer's disease, family history of Alzheimer’s disease",GCST005922,19:45128558
rs10408847-<b>?</b>,"5 x 10-8",,NR,'-,'-,'-,"PPP1R37, MARK4","Alzheimer's disease or family history of Alzheimer's disease","Alzheimer's disease, family history of Alzheimer’s disease",GCST005922,19:45131424
rs12463049-<b>?</b>,"5 x 10-8",,NR,'-,'-,'-,"BLOC1S3, MARK4","Alzheimer's disease or family history of Alzheimer's disease","Alzheimer's disease, family history of Alzheimer’s disease",GCST005922,19:45187692
rs10078434-<b>T</b>,"7 x 10-8",,0.09,'-,"1.1 unit decrease",[0.73-1.47],"RPL7P19, ETF1","Cerebrospinal AB1-42 levels in Alzheimer's disease dementia","Alzheimer's disease, beta-amyloid 1-42 measurement",GCST006990,5:138496342
rs283812-<b>C</b>,"3 x 10-7",,0.29,'-,"0.55 unit decrease",[0.35-0.75],"NECTIN2, AC011481.2","Cerebrospinal AB1-42 levels in Alzheimer's disease dementia","Alzheimer's disease, beta-amyloid 1-42 measurement",GCST006990,19:44885311
rs641615-<b>G</b>,"4 x 10-7","(LME model)",NR,'-,"0.53685 unit decrease",[0.33-0.74],KRT5,"Rate of cognitive decline in Alzheimer's disease","Alzheimer's disease, cognitive decline measurement",GCST010567,12:52519125
rs10785192-<b>T</b>,"2 x 10-6","(LME model)",NR,'-,"0.79444 unit decrease",[0.47-1.12],"KRR1, GLIPR1","Rate of cognitive decline in Alzheimer's disease","Alzheimer's disease, cognitive decline measurement",GCST010567,12:75491985
rs58107565-<b>G</b>,"9 x 10-6","(LME model)",NR,'-,"0.47969 unit decrease",[0.27-0.69],TMEM132D,"Rate of cognitive decline in Alzheimer's disease","Alzheimer's disease, cognitive decline measurement",GCST010567,12:129673196
rs80187936-<b>C</b>,"7 x 10-6","(LME model)",NR,'-,"1.0617 unit decrease",[0.6-1.53],ATP8A2,"Rate of cognitive decline in Alzheimer's disease","Alzheimer's disease, cognitive decline measurement",GCST010567,13:25959811
rs4534807-<b>C</b>,"3 x 10-6","(LME model)",NR,'-,"0.47135 unit increase",[0.27-0.67],"TMCO5B, AC055874.1","Rate of cognitive decline in Alzheimer's disease","Alzheimer's disease, cognitive decline measurement",GCST010567,15:33283306
rs4776063-<b>C</b>,"6 x 10-6","(LME model)",NR,'-,"0.5229 unit increase",[0.3-0.75],FAM214A,"Rate of cognitive decline in Alzheimer's disease","Alzheimer's disease, cognitive decline measurement",GCST010567,15:52611849
rs12913603-<b>A</b>,"7 x 10-6","(LME model)",NR,'-,"0.4172 unit decrease",[0.24-0.6],"LINC02205, AC048383.1","Rate of cognitive decline in Alzheimer's disease","Alzheimer's disease, cognitive decline measurement",GCST010567,15:70376485
rs3176205-<b>T</b>,"1 x 10-7","(LME model)",NR,'-,"0.4721 unit decrease",[0.3-0.65],POLG,"Rate of cognitive decline in Alzheimer's disease","Alzheimer's disease, cognitive decline measurement",GCST010567,15:89322461
rs138299341-<b>A</b>,"2 x 10-6","(LME model)",NR,'-,"1.2753 unit increase",[0.75-1.81],"RNU1-23P, AL158090.1","Rate of cognitive decline in Alzheimer's disease","Alzheimer's disease, cognitive decline measurement",GCST010567,20:24272354
rs73026046-<b>C</b>,"8 x 10-6","(GEE model)",NR,'-,"0.7973 unit decrease",[0.45-1.15],PATE3,"Rate of cognitive decline in Alzheimer's disease","Alzheimer's disease, cognitive decline measurement",GCST010567,11:125791197
rs78356676-<b>C</b>,"8 x 10-7","(GEE model)",NR,'-,"0.98241 unit increase",[0.59-1.37],SLC2A14,"Rate of cognitive decline in Alzheimer's disease","Alzheimer's disease, cognitive decline measurement",GCST010567,12:7824330
rs12303711-<b>A</b>,"7 x 10-6","(GEE model)",NR,'-,"0.82933 unit increase",[0.47-1.19],LINC00477,"Rate of cognitive decline in Alzheimer's disease","Alzheimer's disease, cognitive decline measurement",GCST010567,12:24581194
rs34528337-<b>C</b>,"3 x 10-6","(GEE model)",NR,'-,"1.2485 unit decrease",[0.72-1.77],"AC022513.1, LINC01479","Rate of cognitive decline in Alzheimer's disease","Alzheimer's disease, cognitive decline measurement",GCST010567,12:67926217
chr12:102082121-<b>CG</b>,"2 x 10-7","(GEE model)",NR,'-,"0.92584 unit increase",[0.58-1.27],'-,"Rate of cognitive decline in Alzheimer's disease","Alzheimer's disease, cognitive decline measurement",GCST010567,"Mapping not available"
rs80086666-<b>T</b>,"7 x 10-6","(GEE model)",NR,'-,"0.88148 unit decrease",[0.5-1.27],"RN7SL766P, LINC00424","Rate of cognitive decline in Alzheimer's disease","Alzheimer's disease, cognitive decline measurement",GCST010567,13:21809886
rs1590594-<b>C</b>,"3 x 10-8","(GEE model)",NR,'-,"1.1951 unit increase",[0.77-1.62],"RN7SL700P, SUCLA2","Rate of cognitive decline in Alzheimer's disease","Alzheimer's disease, cognitive decline measurement",GCST010567,13:47612501
rs36180537-<b>T</b>,"2 x 10-6","(GEE model)",NR,'-,"0.88672 unit decrease",[0.52-1.26],LINC02335,"Rate of cognitive decline in Alzheimer's disease","Alzheimer's disease, cognitive decline measurement",GCST010567,13:55131671
rs11620044-<b>G</b>,"7 x 10-6","(GEE model)",NR,'-,"0.98684 unit decrease",[0.56-1.42],"HMGN2P39, DNAJA1P1","Rate of cognitive decline in Alzheimer's disease","Alzheimer's disease, cognitive decline measurement",GCST010567,13:58831133
rs118102991-<b>A</b>,"5 x 10-6","(GEE model)",NR,'-,"1.0582 unit decrease",[0.6-1.51],"DNAJA1P1, HMGN2P39","Rate of cognitive decline in Alzheimer's disease","Alzheimer's disease, cognitive decline measurement",GCST010567,13:59005492
rs9599110-<b>T</b>,"2 x 10-6","(GEE model)",NR,'-,"0.8945 unit decrease",[0.53-1.26],PCDH9,"Rate of cognitive decline in Alzheimer's disease","Alzheimer's disease, cognitive decline measurement",GCST010567,13:66405989
rs79538982-<b>G</b>,"2 x 10-9","(GEE model)",NR,'-,"1.4337 unit decrease",[0.96-1.9],"MTCL1P1, LINC00348","Rate of cognitive decline in Alzheimer's disease","Alzheimer's disease, cognitive decline measurement",GCST010567,13:70946701
rs7985509-<b>G</b>,"1 x 10-8","(GEE model)",NR,'-,"0.81664 unit increase",[0.54-1.1],"LINC00564, DPPA3P3","Rate of cognitive decline in Alzheimer's disease","Alzheimer's disease, cognitive decline measurement",GCST010567,13:81170245
chr13:93655779-<b>AACTC</b>,"1 x 10-6","(GEE model)",NR,'-,"1.2061 unit increase",[0.72-1.7],'-,"Rate of cognitive decline in Alzheimer's disease","Alzheimer's disease, cognitive decline measurement",GCST010567,"Mapping not available"
rs9559817-<b>A</b>,"1 x 10-6","(GEE model)",NR,'-,"0.45677 unit decrease",[0.27-0.64],COL4A2,"Rate of cognitive decline in Alzheimer's disease","Alzheimer's disease, cognitive decline measurement",GCST010567,13:110472624
rs57611377-<b>T</b>,"1 x 10-7","(GEE model)",NR,'-,"0.95611 unit increase",[0.6-1.31],"STXBP6, AL136018.1","Rate of cognitive decline in Alzheimer's disease","Alzheimer's disease, cognitive decline measurement",GCST010567,14:24804695
rs950010-<b>G</b>,"2 x 10-7","(GEE model)",NR,'-,"0.96362 unit decrease",[0.6-1.33],GNG2,"Rate of cognitive decline in Alzheimer's disease","Alzheimer's disease, cognitive decline measurement",GCST010567,14:51970017
rs138656381-<b>T</b>,"2 x 10-6","(GEE model)",NR,'-,"0.93839 unit decrease",[0.55-1.33],FUT8,"Rate of cognitive decline in Alzheimer's disease","Alzheimer's disease, cognitive decline measurement",GCST010567,14:65495566
rs79666627-<b>C</b>,"8 x 10-6","(GEE model)",NR,'-,"0.89637 unit decrease",[0.5-1.29],"AL391261.1, FUT8","Rate of cognitive decline in Alzheimer's disease","Alzheimer's disease, cognitive decline measurement",GCST010567,14:65755293
rs117045930-<b>C</b>,"1 x 10-7","(GEE model)",NR,'-,"1.273 unit decrease",[0.8-1.75],AL132708.1,"Rate of cognitive decline in Alzheimer's disease","Alzheimer's disease, cognitive decline measurement",GCST010567,14:94454310
rs2899492-<b>C</b>,"6 x 10-7","(GEE model)",NR,'-,"0.62012 unit increase",[0.38-0.86],FAM214A,"Rate of cognitive decline in Alzheimer's disease","Alzheimer's disease, cognitive decline measurement",GCST010567,15:52641065
rs150550955-<b>G</b>,"2 x 10-7","(GEE model)",NR,'-,"1.2447 unit decrease",[0.78-1.71],PRTG,"Rate of cognitive decline in Alzheimer's disease","Alzheimer's disease, cognitive decline measurement",GCST010567,15:55719171
chr15:68055986-<b>A</b>,"2 x 10-6","(GEE model)",NR,'-,"0.72052 unit decrease",[0.42-1.02],'-,"Rate of cognitive decline in Alzheimer's disease","Alzheimer's disease, cognitive decline measurement",GCST010567,"Mapping not available"
rs58226358-<b>T</b>,"2 x 10-6","(GEE model)",NR,'-,"1.0128 unit decrease",[0.6-1.43],ADAMTS7P3,"Rate of cognitive decline in Alzheimer's disease","Alzheimer's disease, cognitive decline measurement",GCST010567,15:77983053
rs186706570-<b>C</b>,"4 x 10-7","(GEE model)",NR,'-,"1.0482 unit decrease",[0.64-1.45],LINC01579,"Rate of cognitive decline in Alzheimer's disease","Alzheimer's disease, cognitive decline measurement",GCST010567,15:93798258
rs79116212-<b>G</b>,"5 x 10-7","(GEE model)",NR,'-,"0.87308 unit decrease",[0.53-1.21],VLDLR-AS1,"Rate of cognitive decline in Alzheimer's disease","Alzheimer's disease, cognitive decline measurement",GCST010567,9:2448654
rs10122329-<b>G</b>,"2 x 10-8","(GEE model)",NR,'-,"1.0368 unit increase",[0.67-1.4],"GPS2P1, PUM3","Rate of cognitive decline in Alzheimer's disease","Alzheimer's disease, cognitive decline measurement",GCST010567,9:2844360
chr9:17646666-<b>T</b>,"3 x 10-6","(GEE model)",NR,'-,"1.0588 unit decrease",[0.61-1.51],'-,"Rate of cognitive decline in Alzheimer's disease","Alzheimer's disease, cognitive decline measurement",GCST010567,"Mapping not available"
rs10963978-<b>G</b>,"2 x 10-6","(GEE model)",NR,'-,"1.1215 unit decrease",[0.66-1.58],PLIN2,"Rate of cognitive decline in Alzheimer's disease","Alzheimer's disease, cognitive decline measurement",GCST010567,9:19139572
rs3731249-<b>C</b>,"6 x 10-6","(GEE model)",NR,'-,"1.2609 unit decrease",[0.71-1.81],"CDKN2A, AL359922.1","Rate of cognitive decline in Alzheimer's disease","Alzheimer's disease, cognitive decline measurement",GCST010567,9:21970917
chr9:72111879-<b>AC</b>,"8 x 10-7","(GEE model)",NR,'-,"0.67226 unit decrease",[0.4-0.94],'-,"Rate of cognitive decline in Alzheimer's disease","Alzheimer's disease, cognitive decline measurement",GCST010567,"Mapping not available"
chr9:75841708-<b>AT</b>,"6 x 10-7","(GEE model)",NR,'-,"0.87695 unit increase",[0.53-1.22],'-,"Rate of cognitive decline in Alzheimer's disease","Alzheimer's disease, cognitive decline measurement",GCST010567,"Mapping not available"
chr9:80358202-<b>C</b>,"3 x 10-7","(GEE model)",NR,'-,"0.99635 unit decrease",[0.62-1.38],'-,"Rate of cognitive decline in Alzheimer's disease","Alzheimer's disease, cognitive decline measurement",GCST010567,"Mapping not available"
rs7028759-<b>T</b>,"2 x 10-6","(GEE model)",NR,'-,"0.67689 unit increase",[0.4-0.96],TRMO,"Rate of cognitive decline in Alzheimer's disease","Alzheimer's disease, cognitive decline measurement",GCST010567,9:97915601
rs3824497-<b>A</b>,"4 x 10-6","(GEE model)",NR,'-,"0.72886 unit decrease",[0.42-1.04],GABBR2,"Rate of cognitive decline in Alzheimer's disease","Alzheimer's disease, cognitive decline measurement",GCST010567,9:98453701
rs12686004-<b>G</b>,"2 x 10-6","(GEE model)",NR,'-,"0.60571 unit increase",[0.36-0.86],ABCA1,"Rate of cognitive decline in Alzheimer's disease","Alzheimer's disease, cognitive decline measurement",GCST010567,9:104891145
rs79523756-<b>C</b>,"2 x 10-9","(GEE model)",NR,'-,"0.75083 unit decrease",[0.5-1],"COL27A1, KIF12","Rate of cognitive decline in Alzheimer's disease","Alzheimer's disease, cognitive decline measurement",GCST010567,9:114127254
rs10819287-<b>C</b>,"3 x 10-9","(GEE model)",NR,'-,"1.1125 unit increase",[0.75-1.48],SLC2A8,"Rate of cognitive decline in Alzheimer's disease","Alzheimer's disease, cognitive decline measurement",GCST010567,9:127404103
rs11250601-<b>C</b>,"8 x 10-6","(GEE model)",NR,'-,"0.82215 unit decrease",[0.46-1.18],"ADARB2, ADARB2-AS1","Rate of cognitive decline in Alzheimer's disease","Alzheimer's disease, cognitive decline measurement",GCST010567,10:1537583
rs148405458-<b>C</b>,"4 x 10-8","(GEE model)",NR,'-,"1.0014 unit decrease",[0.64-1.36],LINC02668,"Rate of cognitive decline in Alzheimer's disease","Alzheimer's disease, cognitive decline measurement",GCST010567,10:3254357
rs181259817-<b>C</b>,"4 x 10-6","(GEE model)",NR,'-,"0.92002 unit decrease",[0.53-1.31],PRKG1,"Rate of cognitive decline in Alzheimer's disease","Alzheimer's disease, cognitive decline measurement",GCST010567,10:51756590
rs61851911-<b>G</b>,"1 x 10-6","(GEE model)",NR,'-,"0.88856 unit decrease",[0.53-1.24],"AC026884.1, MRPS35P3","Rate of cognitive decline in Alzheimer's disease","Alzheimer's disease, cognitive decline measurement",GCST010567,10:58077561
rs11195365-<b>G</b>,"2 x 10-6","(GEE model)",NR,'-,"0.67448 unit decrease",[0.4-0.95],PDCD4,"Rate of cognitive decline in Alzheimer's disease","Alzheimer's disease, cognitive decline measurement",GCST010567,10:110883279
chr10:112774958-<b>A</b>,"9 x 10-7","(GEE model)",NR,'-,"0.75765 unit decrease",[0.45-1.06],'-,"Rate of cognitive decline in Alzheimer's disease","Alzheimer's disease, cognitive decline measurement",GCST010567,"Mapping not available"
rs182768834-<b>G</b>,"2 x 10-6","(GEE model)",NR,'-,"0.87088 unit decrease",[0.52-1.23],"AL355537.2, AL391869.1","Rate of cognitive decline in Alzheimer's disease","Alzheimer's disease, cognitive decline measurement",GCST010567,10:129071311
rs72957958-<b>C</b>,"7 x 10-6","(GEE model)",NR,'-,"0.84577 unit increase",[0.48-1.21],"AC103798.1, LRRC6P1","Rate of cognitive decline in Alzheimer's disease","Alzheimer's disease, cognitive decline measurement",GCST010567,11:38108548
rs188620244-<b>G</b>,"5 x 10-7","(GEE model)",NR,'-,"1.0576 unit increase",[0.65-1.47],"AP004146.1, RNA5SP349","Rate of cognitive decline in Alzheimer's disease","Alzheimer's disease, cognitive decline measurement",GCST010567,11:109218136
rs185433085-<b>C</b>,"7 x 10-6","(GEE model)",NR,'-,"0.8837 unit decrease",[0.5-1.27],RNF214,"Rate of cognitive decline in Alzheimer's disease","Alzheimer's disease, cognitive decline measurement",GCST010567,11:117235353
rs74498740-<b>C</b>,"5 x 10-7","(GEE model)",NR,'-,"1.228 unit increase",[0.75-1.71],DSCAML1,"Rate of cognitive decline in Alzheimer's disease","Alzheimer's disease, cognitive decline measurement",GCST010567,11:117659180
rs73017762-<b>C</b>,"1 x 10-6","(GEE model)",NR,'-,"1.0541 unit decrease",[0.63-1.48],FEZ1,"Rate of cognitive decline in Alzheimer's disease","Alzheimer's disease, cognitive decline measurement",GCST010567,11:125560085
rs12924820-<b>A</b>,"2 x 10-6","(GEE model)",NR,'-,"0.47702 unit decrease",[0.28-0.67],"AC022168.1, ATF7IP2","Rate of cognitive decline in Alzheimer's disease","Alzheimer's disease, cognitive decline measurement",GCST010567,16:10274092
rs62030649-<b>G</b>,"7 x 10-8","(GEE model)",NR,'-,"1.0277 unit decrease",[0.65-1.4],PRKCB,"Rate of cognitive decline in Alzheimer's disease","Alzheimer's disease, cognitive decline measurement",GCST010567,16:23860811
rs4949142-<b>A</b>,"6 x 10-7","(GEE model)",NR,'-,"0.59647 unit decrease",[0.36-0.83],"AC018846.1, LINC02165","Rate of cognitive decline in Alzheimer's disease","Alzheimer's disease, cognitive decline measurement",GCST010567,16:63720296
rs59395068-<b>T</b>,"4 x 10-6","(GEE model)",NR,'-,"1.1214 unit increase",[0.64-1.6],"RNA5SP431, AC084064.1","Rate of cognitive decline in Alzheimer's disease","Alzheimer's disease, cognitive decline measurement",GCST010567,16:79447990
chr17:9322274-<b>CCT</b>,"4 x 10-6","(GEE model)",NR,'-,"0.44997 unit decrease",[0.26-0.64],'-,"Rate of cognitive decline in Alzheimer's disease","Alzheimer's disease, cognitive decline measurement",GCST010567,"Mapping not available"
rs79343067-<b>T</b>,"4 x 10-6","(GEE model)",NR,'-,"1.2663 unit increase",[0.73-1.81],"AC023855.2, HDAC5","Rate of cognitive decline in Alzheimer's disease","Alzheimer's disease, cognitive decline measurement",GCST010567,17:44119096
rs74592000-<b>C</b>,"1 x 10-6","(GEE model)",NR,'-,"0.96807 unit increase",[0.57-1.36],LINC01982,"Rate of cognitive decline in Alzheimer's disease","Alzheimer's disease, cognitive decline measurement",GCST010567,17:52478681
chr17:56010692-<b>CCT</b>,"4 x 10-6","(GEE model)",NR,'-,"0.45109 unit increase",[0.26-0.64],'-,"Rate of cognitive decline in Alzheimer's disease","Alzheimer's disease, cognitive decline measurement",GCST010567,"Mapping not available"
rs55994995-<b>A</b>,"1 x 10-6","(GEE model)",NR,'-,"0.96571 unit decrease",[0.57-1.36],"GRB2, SLC25A19","Rate of cognitive decline in Alzheimer's disease","Alzheimer's disease, cognitive decline measurement",GCST010567,17:75313351
rs2650243-<b>A</b>,"1 x 10-6","(GEE model)",NR,'-,"0.81205 unit increase",[0.48-1.14],TBC1D16,"Rate of cognitive decline in Alzheimer's disease","Alzheimer's disease, cognitive decline measurement",GCST010567,17:79935540
rs1994558-<b>A</b>,"7 x 10-6","(GEE model)",NR,'-,"0.41538 unit decrease",[0.23-0.6],CTIF,"Rate of cognitive decline in Alzheimer's disease","Alzheimer's disease, cognitive decline measurement",GCST010567,18:48806024
rs594284-<b>T</b>,"1 x 10-8","(GEE model)",NR,'-,"0.90559 unit decrease",[0.59-1.22],"LINC01916, AC007631.1","Rate of cognitive decline in Alzheimer's disease","Alzheimer's disease, cognitive decline measurement",GCST010567,18:65373686
rs73620745-<b>G</b>,"6 x 10-6","(GEE model)",NR,'-,"1.2914 unit decrease",[0.73-1.85],"AL160410.1, AL035250.2","Rate of cognitive decline in Alzheimer's disease","Alzheimer's disease, cognitive decline measurement",GCST010567,20:59377140
rs742720-<b>T</b>,"6 x 10-6","(GEE model)",NR,'-,"0.73415 unit decrease",[0.42-1.05],"NCAM2, PPIAP1","Rate of cognitive decline in Alzheimer's disease","Alzheimer's disease, cognitive decline measurement",GCST010567,21:20862645
rs35108539-<b>T</b>,"7 x 10-6","(GEE model)",NR,'-,"0.40059 unit increase",[0.23-0.58],"KRTAP11-1, KRTAP7-1","Rate of cognitive decline in Alzheimer's disease","Alzheimer's disease, cognitive decline measurement",GCST010567,21:30864151
chr2:19395907-<b>T</b>,"9 x 10-6","(LME model)",NR,'-,"0.72481 unit increase",[0.41-1.04],'-,"Rate of cognitive decline in Alzheimer's disease","Alzheimer's disease, cognitive decline measurement",GCST010567,"Mapping not available"
rs192269070-<b>A</b>,"4 x 10-6","(LME model)",NR,'-,"1.2594 unit increase",[0.73-1.79],"ANAPC1P3, AC083899.1","Rate of cognitive decline in Alzheimer's disease","Alzheimer's disease, cognitive decline measurement",GCST010567,2:87124603
rs10182651-<b>A</b>,"1 x 10-9","(LME model)",NR,'-,"0.63574 unit decrease",[0.43-0.84],"USP40, UGT1A12P","Rate of cognitive decline in Alzheimer's disease","Alzheimer's disease, cognitive decline measurement",GCST010567,2:233575317
rs111747604-<b>C</b>,"9 x 10-6","(LME model)",NR,'-,"0.85339 unit increase",[0.48-1.23],MBOAT1,"Rate of cognitive decline in Alzheimer's disease","Alzheimer's disease, cognitive decline measurement",GCST010567,6:20177687
rs45604140-<b>C</b>,"7 x 10-6","(LME model)",NR,'-,"0.65899 unit decrease",[0.37-0.95],PTK7,"Rate of cognitive decline in Alzheimer's disease","Alzheimer's disease, cognitive decline measurement",GCST010567,6:43131869
rs77801015-<b>A</b>,"1 x 10-6","(LME model)",NR,'-,"0.82996 unit decrease",[0.5-1.16],"MIR4643, AL080284.1","Rate of cognitive decline in Alzheimer's disease","Alzheimer's disease, cognitive decline measurement",GCST010567,6:91471198
rs4897203-<b>T</b>,"1 x 10-6","(LME model)",NR,'-,"0.75243 unit increase",[0.45-1.05],TRDN,"Rate of cognitive decline in Alzheimer's disease","Alzheimer's disease, cognitive decline measurement",GCST010567,6:123371601
rs34919929-<b>G</b>,"7 x 10-7","(LME model)",NR,'-,"0.48295 unit increase",[0.29-0.67],ZCWPW1,"Rate of cognitive decline in Alzheimer's disease","Alzheimer's disease, cognitive decline measurement",GCST010567,7:100414711
rs117754360-<b>C</b>,"6 x 10-6","(LME model)",NR,'-,"0.98912 unit decrease",[0.56-1.42],"AL365396.1, LINC00587","Rate of cognitive decline in Alzheimer's disease","Alzheimer's disease, cognitive decline measurement",GCST010567,9:102673902
rs1545045-<b>A</b>,"2 x 10-6","(LME model)",NR,'-,"0.5362 unit increase",[0.32-0.76],"RPS27P18, TEX36-AS1","Rate of cognitive decline in Alzheimer's disease","Alzheimer's disease, cognitive decline measurement",GCST010567,10:125501459
rs56755606-<b>A</b>,"1 x 10-7","(GEE model)",NR,'-,"1.1021 unit decrease",[0.7-1.51],"AC018710.1, AC017087.1","Rate of cognitive decline in Alzheimer's disease","Alzheimer's disease, cognitive decline measurement",GCST010567,4:179046443
rs11723502-<b>T</b>,"9 x 10-6","(GEE model)",NR,'-,"0.51405 unit decrease",[0.29-0.74],"MIR3945HG, LINC01093","Rate of cognitive decline in Alzheimer's disease","Alzheimer's disease, cognitive decline measurement",GCST010567,4:184883166
rs72712682-<b>G</b>,"6 x 10-6","(GEE model)",NR,'-,"0.58942 unit decrease",[0.33-0.85],F11-AS1,"Rate of cognitive decline in Alzheimer's disease","Alzheimer's disease, cognitive decline measurement",GCST010567,4:186419433
rs150052082-<b>T</b>,"2 x 10-6","(GEE model)",NR,'-,"1.1459 unit decrease",[0.68-1.62],SLC6A3,"Rate of cognitive decline in Alzheimer's disease","Alzheimer's disease, cognitive decline measurement",GCST010567,5:1418892
rs149799089-<b>T</b>,"1 x 10-6","(GEE model)",NR,'-,"0.91021 unit decrease",[0.55-1.28],PDE4D,"Rate of cognitive decline in Alzheimer's disease","Alzheimer's disease, cognitive decline measurement",GCST010567,5:59464462
rs148373370-<b>A</b>,"5 x 10-6","(GEE model)",NR,'-,"1.1872 unit decrease",[0.68-1.7],"AC116345.4, AC116345.1","Rate of cognitive decline in Alzheimer's disease","Alzheimer's disease, cognitive decline measurement",GCST010567,5:73210437
rs71654380-<b>C</b>,"3 x 10-6","(GEE model)",NR,'-,"0.93659 unit decrease",[0.54-1.33],"LINC01340, AC106748.1","Rate of cognitive decline in Alzheimer's disease","Alzheimer's disease, cognitive decline measurement",GCST010567,5:97450102
rs13435934-<b>A</b>,"5 x 10-6","(GEE model)",NR,'-,"0.65998 unit decrease",[0.38-0.94],"PJA2, AC010625.1","Rate of cognitive decline in Alzheimer's disease","Alzheimer's disease, cognitive decline measurement",GCST010567,5:109410936
rs77152330-<b>A</b>,"7 x 10-6","(GEE model)",NR,'-,"1.1042 unit decrease",[0.62-1.58],LINC02208,"Rate of cognitive decline in Alzheimer's disease","Alzheimer's disease, cognitive decline measurement",GCST010567,5:118294256
rs4895368-<b>T</b>,"4 x 10-6","(GEE model)",NR,'-,"0.87692 unit decrease",[0.5-1.25],TNFAIP8,"Rate of cognitive decline in Alzheimer's disease","Alzheimer's disease, cognitive decline measurement",GCST010567,5:119351201
chr5:124938416-<b>C</b>,"6 x 10-7","(GEE model)",NR,'-,"1.1527 unit decrease",[0.7-1.61],'-,"Rate of cognitive decline in Alzheimer's disease","Alzheimer's disease, cognitive decline measurement",GCST010567,"Mapping not available"
rs78049001-<b>A</b>,"3 x 10-8","(GEE model)",NR,'-,"0.8685 unit decrease",[0.56-1.17],AC116362.1,"Rate of cognitive decline in Alzheimer's disease","Alzheimer's disease, cognitive decline measurement",GCST010567,5:126272219
rs6596201-<b>A</b>,"8 x 10-6","(GEE model)",NR,'-,"0.82968 unit decrease",[0.47-1.19],C5orf66,"Rate of cognitive decline in Alzheimer's disease","Alzheimer's disease, cognitive decline measurement",GCST010567,5:135155460
rs150117434-<b>T</b>,"6 x 10-6","(GEE model)",NR,'-,"1.1035 unit decrease",[0.62-1.58],COL23A1,"Rate of cognitive decline in Alzheimer's disease","Alzheimer's disease, cognitive decline measurement",GCST010567,5:178502420
rs145578678-<b>C</b>,"3 x 10-6","(GEE model)",NR,'-,"1.1492 unit increase",[0.67-1.63],DEK,"Rate of cognitive decline in Alzheimer's disease","Alzheimer's disease, cognitive decline measurement",GCST010567,6:18229415
rs9380681-<b>T</b>,"1 x 10-6","(GEE model)",NR,'-,"0.46432 unit increase",[0.28-0.65],"AL353597.3, MIR4462","Rate of cognitive decline in Alzheimer's disease","Alzheimer's disease, cognitive decline measurement",GCST010567,6:37562679
rs73449416-<b>A</b>,"4 x 10-7","(GEE model)",NR,'-,"1.0698 unit increase",[0.65-1.49],"RNU6-280P, RNA5SP208","Rate of cognitive decline in Alzheimer's disease","Alzheimer's disease, cognitive decline measurement",GCST010567,6:67513240
rs76190283-<b>G</b>,"2 x 10-6","(GEE model)",NR,'-,"0.87975 unit decrease",[0.52-1.24],TENT5A,"Rate of cognitive decline in Alzheimer's disease","Alzheimer's disease, cognitive decline measurement",GCST010567,6:81540046
